,   Agencia Tributaria,,,,,,

Modelo 303,,Diseño de registro.,,,,,
,,Impuesto sobre el Valor Añadido,,,,,
Nº,Posic.,Lon,Tipo,Comp,Descripción,Validación,Contenido
1,1,2,An,,Inicio del identificador de modelo y página., Obligatorio ," Constante ""<T"""
2,3,3, Num ,,Modelo., Obligatorio ," Constante ""303"" "
3,6,5, Num ,,Página., Obligatorio ," Constante ""05000"""
4,11,1, An ,,Fin de identificador de modelo. , Obligatorio ," Constante "">"""
5,12,1,A,C,"Indicador de página complementaria. Blanco (No complementaria) o ""C"" (Complementaria)",, Nota 1
6,13,4,An,C,Prorratas - 1 - Código CNAE [500],,CNAE-2025
7,17,17,N,C,Prorratas - 1 - Importe de operaciones [501],,15 enteros 2 decimales
8,34,17,N,C,Prorratas - 1 - Importe de operaciones con derecho a deducción [502],,15 enteros 2 decimales
9,51,1,An,C,Prorratas - 1 - Tipo de prorrata [503],,"""G"", ""E"" o blanco."
10,52,5,Num,C,Prorratas - 1 - % de prorrata [504],,"3 enteros 2 decimales, menor o igual que 100."
11,57,4,An,C,Prorratas - 2 - Código CNAE [505],,CNAE-2025
12,61,17,N,C,Prorratas - 2 - Importe de operaciones [506],,15 enteros 2 decimales
13,78,17,N,C,Prorratas - 2 - Importe de operaciones con derecho a deducción [507],,15 enteros 2 decimales
14,95,1,An,C,Prorratas - 2 - Tipo de prorrata [508],,"""G"", ""E"" o blanco."
15,96,5,Num,C,Prorratas - 2 - % de prorrata [509],,"3 enteros 2 decimales, menor o igual que 100."
16,101,4,An,C,Prorratas - 3 - Código CNAE [510],,CNAE-2025
17,105,17,N,C,Prorratas - 3 - Importe de operaciones [511],,15 enteros 2 decimales
18,122,17,N,C,Prorratas - 3 - Importe de operaciones con derecho a deducción [512],,15 enteros 2 decimales
19,139,1,An,C,Prorratas - 3 - Tipo de prorrata [513],,"""G"", ""E"" o blanco."
20,140,5,Num,C,Prorratas - 3 - % de prorrata [514],,"3 enteros 2 decimales, menor o igual que 100."
21,145,4,An,C,Prorratas - 4 - Código CNAE [515],,CNAE-2025
22,149,17,N,C,Prorratas - 4 - Importe de operaciones [516],,15 enteros 2 decimales
23,166,17,N,C,Prorratas - 4 - Importe de operaciones con derecho a deducción [517],,15 enteros 2 decimales
24,183,1,An,C,Prorratas - 4 - Tipo de prorrata [518],,"""G"", ""E"" o blanco."
25,184,5,Num,C,Prorratas - 4 - % de prorrata [519],,"3 enteros 2 decimales, menor o igual que 100."
26,189,4,An,C,Prorratas - 5 - Código CNAE [520],,CNAE-2025
27,193,17,N,C,Prorratas - 5 - Importe de operaciones [521],,15 enteros 2 decimales
28,210,17,N,C,Prorratas - 5 - Importe de operaciones con derecho a deducción [522],,15 enteros 2 decimales
29,227,1,An,C,Prorratas - 5 - Tipo de prorrata [523],,"""G"", ""E"" o blanco."
30,228,5,Num,C,Prorratas - 5 - % de prorrata [524],,"3 enteros 2 decimales, menor o igual que 100."
31,233,17,Num,C,13. Reg. Deducc. Diferenc.- 1 - IVA ded. Operac. Interiores - Bienes y servicios corrientes - Base imponible [700],,15 enteros 2 decimales
32,250,17,Num,C,13. Reg. Deducc. Diferenc.- 1 - IVA ded. Operac. Interiores - Bienes y servicios corrientes - Cuota deducible [701],,15 enteros 2 decimales
33,267,17,Num,C,13. Reg. Deducc. Diferenc.- 1 - IVA ded. Operac. Interiores - Bienes inversión - Base imponible [702],,15 enteros 2 decimales
34,284,17,Num,C,13. Reg. Deducc. Diferenc.- 1 - IVA ded. Operac. Interiores - Bienes inversión - Cuota deducible [703],,15 enteros 2 decimales
35,301,17,Num,C,13. Reg. Deducc. Diferenc.- 1 - IVA ded. Importaciones - Bienes corrientes - Base imponible [704],,15 enteros 2 decimales
36,318,17,Num,C,13. Reg. Deducc. Diferenc.- 1 - IVA ded. Importaciones - Bienes corrientes - Cuota deducible [705],,15 enteros 2 decimales
37,335,17,Num,C,13. Reg. Deducc. Diferenc.- 1 - IVA ded. Importaciones - Bienes inversión - Base imponible [706],,15 enteros 2 decimales
38,352,17,Num,C,13. Reg. Deducc. Diferenc.- 1 - IVA ded. Importaciones - Bienes inversión - Cuota deducible [707],,15 enteros 2 decimales
39,369,17,Num,C,13. Reg. Deducc. Diferenc.- 1 - IVA ded. Adquisic. intracomun. - Bienes corrientes y servicios - Base imponible [708],,15 enteros 2 decimales
40,386,17,Num,C,13. Reg. Deducc. Diferenc.- 1 - IVA ded. Adquisic. intracomun. - Bienes corrientes y servicios - Cuota deducible [709],,15 enteros 2 decimales
41,403,17,Num,C,13. Reg. Deducc. Diferenc.- 1 - IVA ded. Adquisic. intracomun. - Bienes inversión - Base imponible [710],,15 enteros 2 decimales
42,420,17,Num,C,13. Reg. Deducc. Diferenc.- 1 - IVA ded. Adquisic. intracomun. - Bienes inversión - Cuota deducible [711],,15 enteros 2 decimales
43,437,17,Num,C,13. Reg. Deducc. Diferenc.- 1 - Compensac. rég. especial agric./ganad./pesca - Base impon. [712] ,,15 enteros 2 decimales
44,454,17,Num,C,13. Reg. Deducc. Diferenc.- 1 - Compensac. rég. especial agric./ganad./pesca - Cuota deduc. [713] ,,15 enteros 2 decimales
45,471,17,N,C,13. Reg. Deducc. Diferenc.- 1 - Rectificación de deducciones - Base impon.  [714],,15 enteros 2 decimales
46,488,17,N,C,13. Reg. Deducc. Diferenc.- 1 - Rectificación de deducciones - Cuota deduc. [715],,15 enteros 2 decimales
47,505,17,N,C,13. Reg. Deducc. Diferenc.- 1 - Regularización de bienes de inversión [716],,15 enteros 2 decimales
48,522,17,N,C,13. Reg. Deducc. Diferenc.- 1 - Suma de deducciones [717],,15 enteros 2 decimales
49,539,17,Num,C,13. Reg. Deducc. Diferenc.- 2 - IVA ded. Operac. Interiores - Bienes y servicios corrientes - Base imponible [718],,15 enteros 2 decimales
50,556,17,Num,C,13. Reg. Deducc. Diferenc.- 2 - IVA ded. Operac. Interiores - Bienes y servicios corrientes - Cuota deducible [719],,15 enteros 2 decimales
51,573,17,Num,C,13. Reg. Deducc. Diferenc.- 2 - IVA ded. Operac. Interiores - Bienes inversión - Base imponible [720],,15 enteros 2 decimales
52,590,17,Num,C,13. Reg. Deducc. Diferenc.- 2 - IVA ded. Operac. Interiores - Bienes inversión - Cuota deducible [721],,15 enteros 2 decimales
