,   Agencia Tributaria,,,,,,
,,,,,,,
Modelo 390,,Diseño de registro. Castellano.,,,,,
vers.1.02,,IVA,,,,,
Nº,Posic.,Lon,Tipo,Descripción,Validación,Contenido,
1,1,2,An,Inicio del identificador de modelo y página.,OBLIGATORIO,"Constante ""<T""",
2,3,3,Num,Modelo.,OBLIGATORIO,"Constante ""390""",
3,6,5,Num,Página.,OBLIGATORIO,"Constante ""02000"" ",
4,11,1,An,Fin de identificador de modelo.,OBLIGATORIO,"Constante "">"" ",
5,12,1,A,Indicador de página complementaria.,,En Blanco,
6,13,17,N,5. Operaciones Reg. Gral. - Base Imponible y cuota - Reg. ordin. - Tipo 0% - Base imponible [700],,15 enteros 2 decimales,
7,30,17,N,5. Operaciones Reg. Gral. - Base Imponible y cuota - Reg. ordin. - Tipo 0% - Cuota [701],,Nota 2,
8,47,17,N,5. Operaciones Reg. Gral. - Base Imponible y cuota - Reg. ordin. - Tipo 2% - Base imponible [667],,Nota 2,
9,64,17,N,5. Operaciones Reg. Gral. - Base Imponible y cuota - Reg. ordin. - Tipo 2% - Cuota [668],,Nota 2,
10,81,17,N,5. Operaciones Reg. Gral. - Base Imponible y cuota - Reg. ordin. - Tipo 4% - Base imponible [01],,15 enteros 2 decimales,
11,98,17,N,5. Operaciones Reg. Gral. - Base Imponible y cuota - Reg. ordin. - Tipo 4% - Cuota [02],,15 enteros 2 decimales,
12,115,17,N,5. Operaciones Reg. Gral. - Base Imponible y cuota - Reg. ordin. - Tipo 5% - Base imponible [702],,Nota 2,
13,132,17,N,5. Operaciones Reg. Gral. - Base Imponible y cuota - Reg. ordin. - Tipo 5% - Cuota [703],,Nota 2,
14,149,17,N,"5. Operaciones Reg. Gral. - Base Imponible y cuota - Reg. ordin. - Tipo 7,5% - Base imponible [669]",,Nota 2,
15,166,17,N,"5. Operaciones Reg. Gral. - Base Imponible y cuota - Reg. ordin. - Tipo 7,5% - Cuota [670]",,Nota 2,
16,183,17,N,5. Operaciones Reg. Gral. - Base Imponible y cuota - Reg. ordin. - Tipo 10% - Base imponible [03],,15 enteros 2 decimales,
17,200,17,N,5. Operaciones Reg. Gral. - Base Imponible y cuota - Reg. ordin. - Tipo 10% - Cuota [04],,15 enteros 2 decimales,
18,217,17,N,5. Operaciones Reg. Gral. - Base Imponible y cuota - Reg. ordin. - Tipo 21% - Base imponible [05],,15 enteros 2 decimales,
19,234,17,N,5. Operaciones Reg. Gral. - Base Imponible y cuota - Reg. ordin. - Tipo 21% - Cuota [06],,15 enteros 2 decimales,
20,251,17,N,5. Operaciones Reg. Gral. - Base imponible y cuota - operaciones intragrupo - Tipo 0% - Base imponible [704],,15 enteros 2 decimales,
21,268,17,N,5. Operaciones Reg. Gral. - Base imponible y cuota - operaciones intragrupo - Tipo 0% - Cuota [705],,Nota 2,
22,285,17,N,5. Operaciones Reg. Gral. - Base imponible y cuota - operaciones intragrupo - Tipo 2% - Base imponible [671],,Nota 2,
23,302,17,N,5. Operaciones Reg. Gral. - Base imponible y cuota - operaciones intragrupo - Tipo 2% - Cuota [672],,Nota 2,
24,319,17,N,5. Operaciones Reg. Gral. - Base imponible y cuota - operaciones intragrupo - Tipo 4% - Base imponible [500],,15 enteros 2 decimales,
25,336,17,N,5. Operaciones Reg. Gral. - Base imponible y cuota - operaciones intragrupo - Tipo 4% - Cuota [501],,15 enteros 2 decimales,
26,353,17,N,5. Operaciones Reg. Gral. - Base imponible y cuota - operaciones intragrupo - Tipo 5% - Base imponible [706],,Nota 2,
27,370,17,N,5. Operaciones Reg. Gral. - Base imponible y cuota - operaciones intragrupo - Tipo 5% - Cuota [707],,Nota 2,
28,387,17,N,"5. Operaciones Reg. Gral. - Base imponible y cuota - operaciones intragrupo - Tipo 7,5% - Base imponible [673]",,Nota 2,
29,404,17,N,"5. Operaciones Reg. Gral. - Base imponible y cuota - operaciones intragrupo - Tipo 7,5% - Cuota [674]",,Nota 2,
30,421,17,N,5. Operaciones Reg. Gral. - Base imponible y cuota - operaciones intragrupo - Tipo 10% - Base imponible [502],,15 enteros 2 decimales,
31,438,17,N,5. Operaciones Reg. Gral. - Base imponible y cuota - operaciones intragrupo - Tipo 10% - Cuota [503],,15 enteros 2 decimales,
32,455,17,N,5. Operaciones Reg. Gral. - Base imponible y cuota - operaciones intragrupo - Tipo 21% - Base imponible [504],,15 enteros 2 decimales,
33,472,17,N,5. Operaciones Reg. Gral. - Base imponible y cuota - operaciones intragrupo - Tipo 21% - Cuota [505],,15 enteros 2 decimales,
34,489,17,N,5. Operaciones Reg. Gral. - Base imponible y cuota - regimen especial criterio caja - Tipo 0% - Base imponible [708],,15 enteros 2 decimales,
35,506,17,N,5. Operaciones Reg. Gral. - Base imponible y cuota - regimen especial criterio caja - Tipo 0% - Cuota [709],,Nota 2,
36,523,17,N,5. Operaciones Reg. Gral. - Base imponible y cuota - regimen especial criterio caja - Tipo 2% - Base imponible [675],,Nota 2,
37,540,17,N,5. Operaciones Reg. Gral. - Base imponible y cuota - regimen especial criterio caja - Tipo 2% - Cuota [676],,Nota 2,
38,557,17,N,5. Operaciones Reg. Gral. - Base imponible y cuota - regimen especial criterio caja - Tipo 4% - Base imponible [643],,15 enteros 2 decimales,
39,574,17,N,5. Operaciones Reg. Gral. - Base imponible y cuota - regimen especial criterio caja - Tipo 4% - Cuota [644],,15 enteros 2 decimales,
40,591,17,N,5. Operaciones Reg. Gral. - Base imponible y cuota - regimen especial criterio caja - Tipo 5% - Base imponible [710],,Nota 2,
41,608,17,N,5. Operaciones Reg. Gral. - Base imponible y cuota - regimen especial criterio caja - Tipo 5% - Cuota [711],,Nota 2,
42,625,17,N,"5. Operaciones Reg. Gral. - Base imponible y cuota - regimen especial criterio caja - Tipo 7,5% - Base imponible [677]",,Nota 2,
43,642,17,N,"5. Operaciones Reg. Gral. - Base imponible y cuota - regimen especial criterio caja - Tipo 7,5% - Cuota [678]",,Nota 2,
44,659,17,N,5. Operaciones Reg. Gral. - Base imponible y cuota - regimen especial criterio caja - Tipo 10% - Base imponible [645],,15 enteros 2 decimales,
45,676,17,N,5. Operaciones Reg. Gral. - Base imponible y cuota - regimen especial criterio caja - Tipo 10% - Cuota [646],,15 enteros 2 decimales,
