,   Agencia Tributaria,,,,,,
,,,,,,,
Modelo 390,,Diseño de registro. Castellano.,,,,,
vers.1.02,,IVA,,,,,
Nº,Posic.,Lon,Tipo,Descripción,Validación,Contenido,
1,1,2,An,Inicio del identificador de modelo y página.,OBLIGATORIO,"Constante ""<T""",
2,3,3,Num,Modelo.,OBLIGATORIO,"Constante ""390""",
3,6,5,Num,Página.,OBLIGATORIO,"Constante ""02B00"" ",
4,11,1,An,Fin de identificador de modelo.,OBLIGATORIO,"Constante "">"" ",
5,12,1,A,Indicador de página complementaria.,,En Blanco,
6,13,17,N,5. Operaciones Reg. Gral. - Base Imponible y cuota - Recargo de equivalencia - Tipo 0% - Base imponible [663],,Nota 2,
7,30,17,N,5. Operaciones Reg. Gral. - Base Imponible y cuota - Recargo de equivalencia - Tipo 0% - Cuota [664],,Nota 2,
8,47,17,N,"5. Operaciones Reg. Gral. - Base Imponible y cuota - Recargo de equivalencia - Tipo 0,26% - Base imponible [691]",,Nota 2,
9,64,17,N,"5. Operaciones Reg. Gral. - Base Imponible y cuota - Recargo de equivalencia - Tipo 0,26% - Cuota [692]",,Nota 2,
10,81,17,N,"5. Operaciones Reg. Gral. - Base Imponible y cuota - Recargo de equivalencia - Tipo 0,5% - Base imponible [35]",,15 enteros 2 decimales,
11,98,17,N,"5. Operaciones Reg. Gral. - Base Imponible y cuota - Recargo de equivalencia - Tipo 0,5% - Cuota [36]",,15 enteros 2 decimales,
12,115,17,N,"5. Operaciones Reg. Gral. - Base Imponible y cuota - Recargo de equivalencia - Tipo 0,62% - Base imponible [665]",,Nota 2,
13,132,17,N,"5. Operaciones Reg. Gral. - Base Imponible y cuota - Recargo de equivalencia - Tipo 0,62% - Cuota [666]",,Nota 2,
14,149,17,N,5. Operaciones Reg. Gral. - Base Imponible y cuota - Recargo de equivalencia - Tipo 1% - Base imponible [693],,Nota 2,
15,166,17,N,5. Operaciones Reg. Gral. - Base Imponible y cuota - Recargo de equivalencia - Tipo 1% - Cuota [694],,Nota 2,
16,183,17,N,"5. Operaciones Reg. Gral. - Base Imponible y cuota - Recargo de equivalencia - Tipo 1,4% - Base imponible [599]",,15 enteros 2 decimales,
17,200,17,N,"5. Operaciones Reg. Gral. - Base Imponible y cuota - Recargo de equivalencia - Tipo 1,4% - Cuota [600]",,15 enteros 2 decimales,
18,217,17,N,"5. Operaciones Reg. Gral. - Base Imponible y cuota - Recargo de equivalencia - Tipo 5,2% - Base imponible [601]",,15 enteros 2 decimales,
19,234,17,N,"5. Operaciones Reg. Gral. - Base Imponible y cuota - Recargo de equivalencia - Tipo 5,2% - Cuota [602]",,15 enteros 2 decimales,
20,251,17,N,"5. Operaciones Reg. Gral. - Base Imponible y cuota - Recargo de equivalencia - Tipo 1,75% - Base imponible [41]",,15 enteros 2 decimales,
21,268,17,N,"5. Operaciones Reg. Gral. - Base Imponible y cuota - Recargo de equivalencia - Tipo 1,75% - Cuota [42]",,15 enteros 2 decimales,
22,285,17,N,5. Operaciones Reg. Gral. - Base Imponible y cuota - Modific. recargo equivalencia - Base imponible [43],,15 enteros 2 decimales,
23,302,17,N,5. Operaciones Reg. Gral. - Base Imponible y cuota - Modific. recargo equivalencia - Cuota [44],,15 enteros 2 decimales,
24,319,17,N,5. Operaciones Reg. Gral. - Base Imponible y cuota - Modific. recargo equiv. Concurso acreedores - Base imponible [45],,15 enteros 2 decimales,
25,336,17,N,5. Operaciones Reg. Gral. - Base Imponible y cuota - Modific. recargo equiv. Concurso acreedores - Cuota [46],,15 enteros 2 decimales,
26,353,17,N,5. Operaciones Reg. Gral. - Base Imponible y cuota - Total cuotas IVA y recargo equivalencia [47],,15 enteros 2 decimales,
27,370,150,An,RESERVADO PARA LA A.E.A.T. (Dejar en blanco) ,,,
28,520,12,An,Indentificador de Fin de registro,OBLIGATORIO,"Constante ""</T39002B00>""",
TOTAL,,531,   POSICIONES,,,,
,,,,,,,
,,,,,,,
Nota1: ,,,,,,,
"1. Los campos deben ser A (Alfabético) An (Alfanumérico), Num (Numérico sin signo) o N (Numérico con signo).",,,,,,,
"2. Los campos alfanuméricos (An) sólo admiten letras, números y blancos. Deberán estar alineados a la izquierda, rellenando con blancos por la derecha.",,,,,,,
3. Los campos numéricos (Num) sólo admiten números. Los datos numéricos deberán estar alineados a la derecha rellenando con ceros por la izquierda.,,,,,,,
4. Los campos numéricos con signo (N) admiten números más el carácter N . Los datos numéricos deberán estar alineados a la derecha rellenando con ceros por la izquierda.,,,,,,,
5. Los datos numéricos negativos llevarán una N en la primera posición del campo.,,,,,,,
,,,,,,,
Nota 2: estas casillas deben estar rellenas a 0,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
