,   Agencia Tributaria,,,,,
,,,,,,
Modelo 390,,Diseño de registro. Castellano.,,,,
vers.1.02,,IVA,,,,
Nº,Posic.,Lon,Tipo,Descripción,Validación,Contenido
1,1,2,An,Inicio del identificador de modelo y página.,OBLIGATORIO,"Constante ""<T"""
2,3,3,Num,Modelo.. ,OBLIGATORIO,"Constante ""390"""
3,6,5,Num,Página.  ,OBLIGATORIO.,"Constante ""06000"""
4,11,1,An,Fin de identificador de modelo.,OBLIGATORIO,"Constante "">"" "
5,12,1,A,Indicador de página complementaria.,, En blanco
6,13,17,N,7. Resultado liquidación anual - Regularización cuotas art. 80.Cinco.5ª LIVA [658],,15 enteros 2 decimales
7,30,17,N,7. Resultado liquidación anual - Suma de resultados [84],,15 enteros 2 decimales
8,47,17,Num,7. Resultado liquidación anual - IVA a la importación liquidado por la Aduana (sólo sujetos pasivos con opción de diferimiento) [659],,15 enteros 2 decimales
9,64,17,Num,7. Resultado liquidación anual - Compensación de cuotas ejercicio anterior [85],,15 enteros 2 decimales
10,81,17,N,7. Resultado liquidación anual - Resultado de la liquidación [86],,15 enteros 2 decimales
11,98,5,Num,8. Tributación razón de territorio - Administraciones - Territorio común [87]  ,,  3 enteros 2 decimales
12,103,5,Num,8. Tributación razón de territorio - Administraciones - Álava [88] ,,  3 enteros 2 decimales
13,108,5,Num,8. Tributación razón de territorio - Administraciones - Guipúzcoa [89],,  3 enteros 2 decimales
14,113,5,Num,8. Tributación razón de territorio - Administraciones - Vizcaya [90] ,,  3 enteros 2 decimales
15,118,5,Num,8. Tributación razón de territorio - Administraciones - Navarra [91] ,,  3 enteros 2 decimales
16,123,17,N,8. Tributación razón de territorio - Administraciones - Regularización cuotas art. 80.Cinco.5ª LIVA [658],,15 enteros 2 decimales
17,140,17,N,8. Tributación razón de territorio - Administraciones - Suma de resultados [84],,15 enteros 2 decimales
18,157,17,N,8. Tributación razón de territorio - Administraciones - Resultado atribuible a territorio común [92],,15 enteros 2 decimales
19,174,17,Num,8. Tributación razón de territorio - Administraciones - IVA a la importación liquidado por la Aduana(sólo sujetos pasivos con opción de diferimiento) [659],,15 enteros 2 decimales
20,191,17,Num,8. Tributación razón de territorio - Administraciones - Compens. cuotas ej. anterior atrib. territ. com. [93],,15 enteros 2 decimales
21,208,17,N,8. Tributación razón de territorio - Administraciones - Resultado liq. anual atribuible territ. comun [94],,15 enteros 2 decimales
22,225,17,Num,9. Resultado de las liquidaciones - Total resultados a ingresar autoliquidaciones de IVA del ejercicio [95],,15 enteros 2 decimales
23,242,17,Num,9. Resultado de las liquidaciones - Total devoluc. mensuales IVA suj. pasivos Regtro. de devolución mensual [96],,15 enteros 2 decimales
24,259,17,Num,9. Resultado de las liquidaciones - Total devoluc. Por cuotas en la adquisicion de elementos de transporte [524],,15 enteros 2 decimales
25,276,17,Num,9. Resultado de las liquidaciones - Resultado declaración-liquidación último periodo - A compensar [97],,15 enteros 2 decimales
26,293,17,Num,9. Resultado de las liquidaciones - Resultado declaración-liquidación último periodo - A devolver [98],,15 enteros 2 decimales
27,310,17,Num,9. Resultado de las liquidaciones - Cuotas pendientes de compensación generadas en el ejercicio y distintas de las incluidas en la casilla 97 [662],,15 enteros 2 decimales
28,327,17,Num,9. Resultado de las liquidaciones - Total resultados positivos del ejercicio (modelo 322) [525],,15 enteros 2 decimales
29,344,17,Num,9. Resultado de las liquidaciones - Total resultados negativos del ejercicio (modelo 322) [526],,15 enteros 2 decimales
30,361,17,N,10. Volumen de operaciones - Operaciones en régimen general [99],,15 enteros 2 decimales
31,378,17,N,10. Volumen de operaciones - Operaciones régimen especial del criterio de caja [653],,15 enteros 2 decimales
32,395,17,N,10. Volumen de operaciones - Entregas intracomunitarias de bienes y servicios [103],,15 enteros 2 decimales
33,412,17,N,10. Volumen de operaciones - Exportaciones y otras operaciones exentas con derecho a deducción [104],,15 enteros 2 decimales
34,429,17,N,10. Volumen de operaciones - Operaciones exentas sin derecho a deducción [105],,15 enteros 2 decimales
35,446,17,N,10. Volumen de operaciones - Operaciones no sujetas por reglas de localización (excepto las incluidas en la casilla 126) [110],,15 enteros 2 decimales
36,463,17,N,10. Volumen de operaciones - Operaciones sujetas con inversión del sujeto pasivo [125],,15 enteros 2 decimales
37,480,17,N,10. Volumen de operaciones - OSS. Operaciones no sujetas por reglas de localización acogidas a la OSS [126],,15 enteros 2 decimales
38,497,17,N,10. Volumen de operaciones - OSS. Operaciones sujetas y acogidas a la OSS [127],,15 enteros 2 decimales
39,514,17,N,10. Volumen de operaciones - Operaciones intragrupo valoradas conforme a lo dispuesto en los arts. 78 y 79 LIVA [128],,15 enteros 2 decimales
40,531,17,N,10. Volumen de operaciones - Operaciones en régimen simplificado [100],,15 enteros 2 decimales
41,548,17,N,"10. Volumen de operaciones - Operaciones en régimen especias de la agricultura, ganadería y pesca [101]",,15 enteros 2 decimales
42,565,17,N,10. Volumen de operaciones - Operaciones en régimen especial del recargo de equivalencia [102].,,15 enteros 2 decimales
43,582,17,N,"10. Volumen de operaciones - Operaciones en régimen especias de bienes usados, objetos de arte, antigüedades y objetos de colección [227].",,15 enteros 2 decimales
44,599,17,N,10. Volumen de operaciones - Operaciones en régimen especial de agencias de viajes [228].,,15 enteros 2 decimales
45,616,17,N,10. Volumen de operaciones - Entrega de bienes inmuebles y operaciones financieras no habituales [106],,15 enteros 2 decimales
46,633,17,N,10. Volumen de operaciones - Entrega de bienes de inversion [107],,15 enteros 2 decimales
47,650,17,N,10. Volumen de operaciones - Total volumen de operaciones [108],,15 enteros 2 decimales
48,667,150,An,RESERVADO PARA LA A.E.A.T. (Dejar en blanco) ,,
49,817,12,An,Indentificador de Fin de registro,OBLIGATORIO,"Constante ""</T39006000>"""
TOTAL,,828,   POSICIONES,,,
,,,,,,
,,,,,,
,,,,,,
Nota1: ,,,,,,
"1. Los campos deben ser A (Alfabético) An (Alfanumérico), Num (Numérico sin signo) o N (Numérico con signo).",,,,,,
"2. Los campos alfanuméricos (An) sólo admiten letras, números y blancos. Deberán estar alineados a la izquierda, rellenando con blancos por la derecha.",,,,,,
3. Los campos numéricos (Num) sólo admiten números. Los datos numéricos deberán estar alineados a la derecha rellenando con ceros por la izquierda.,,,,,,
