,   Agencia Tributaria,,,,,
,,,,,,
Modelo 390,,Diseño de registro. Castellano.,,,,
vers.1.02,,IVA,,,,
Nº,Posic.,Lon,Tipo,Descripción,Validación,Contenido
1,1,2,An,Inicio del identificador de modelo y página.,OBLIGATORIO,"Constante ""<T"""
2,3,3,Num,Modelo.,OBLIGATORIO,"Constante ""390"""
3,6,5,Num,Página.,OBLIGATORIO,"Constante ""03000"" "
4,11,1,An,Fin de identificador de modelo.,OBLIGATORIO,"Constante "">"" "
5,12,1,A,Indicador de página complementaria.,,En Blanco
6,13,17,N,5. Operaciones Reg. Gral. - IVA deducible - Oper. inter. corrientes bienes y servic. - Tipo 2% - Base imponible [695],,15 enteros 2 decimales
7,30,17,N,5. Operaciones Reg. Gral. - IVA deducible - Oper. inter. corrientes bienes y servic. - Tipo 2% - Cuota [696],,15 enteros 2 decimales
8,47,17,N,5. Operaciones Reg. Gral. - IVA deducible - Oper. inter. corrientes bienes y servic. - Tipo 4% - Base imponible [190],,15 enteros 2 decimales
9,64,17,N,5. Operaciones Reg. Gral. - IVA deducible - Oper. inter. corrientes bienes y servic. - Tipo 4% - Cuota [191],,15 enteros 2 decimales
10,81,17,N,5. Operaciones Reg. Gral. - IVA deducible - Oper. inter. corrientes bienes y servic. - Tipo 5% - Base imponible [724],,15 enteros 2 decimales
11,98,17,N,5. Operaciones Reg. Gral. - IVA deducible - Oper. inter. corrientes bienes y servic. - Tipo 5% - Cuota [725],,15 enteros 2 decimales
12,115,17,N,"5. Operaciones Reg. Gral. - IVA deducible - Oper. inter. corrientes bienes y servic. - Tipo 7,5% - Base imponible [697]",,15 enteros 2 decimales
13,132,17,N,"5. Operaciones Reg. Gral. - IVA deducible - Oper. inter. corrientes bienes y servic. - Tipo 7,5% - Cuota [698]",,15 enteros 2 decimales
14,149,17,N,5. Operaciones Reg. Gral. - IVA deducible - Oper. inter. corrientes bienes y servic. - Tipo 10% - Base imponible [603],,15 enteros 2 decimales
15,166,17,N,5. Operaciones Reg. Gral. - IVA deducible - Oper. inter. corrientes bienes y servic. - Tipo 10% - Cuota [604],,15 enteros 2 decimales
16,183,17,N,5. Operaciones Reg. Gral. - IVA deducible - Oper. inter. corrientes bienes y servic. - Tipo 21% - Base imponible [605],,15 enteros 2 decimales
17,200,17,N,5. Operaciones Reg. Gral. - IVA deducible - Oper. inter. corrientes bienes y servic. - Tipo 21% - Cuota [606],,15 enteros 2 decimales
18,217,17,N,5. Operaciones Reg. Gral. - IVA deducible - Total oper. inter. corrientes bienes y servic. - Base imponible [48],,15 enteros 2 decimales
19,234,17,N,5. Operaciones Reg. Gral. - IVA deducible - Total oper. inter. corrientes bienes y servic. - Cuota [49],,15 enteros 2 decimales
20,251,17,N,5. Operaciones Reg. Gral. - IVA deducible - Oper. intragrupo corrientes - Tipo 2% - Base imponible [745],,15 enteros 2 decimales
21,268,17,N,5. Operaciones Reg. Gral. - IVA deducible - Oper. intragrupo corrientes - Tipo 2% - Cuota [746],,15 enteros 2 decimales
22,285,17,N,5. Operaciones Reg. Gral. - IVA deducible - Oper. intragrupo corrientes - Tipo 4% - Base imponible [506],,15 enteros 2 decimales
23,302,17,N,5. Operaciones Reg. Gral. - IVA deducible - Oper. intragrupo corrientes - Tipo 4% - Cuota [507],,15 enteros 2 decimales
24,319,17,N,5. Operaciones Reg. Gral. - IVA deducible - Oper. intragrupo corrientes - Tipo 5% - Base imponible [726],,15 enteros 2 decimales
25,336,17,N,5. Operaciones Reg. Gral. - IVA deducible - Oper. intragrupo corrientes - Tipo 5% - Cuota [727],,15 enteros 2 decimales
26,353,17,N,"5. Operaciones Reg. Gral. - IVA deducible - Oper. intragrupo corrientes - Tipo 7,5% - Base imponible [747]",,15 enteros 2 decimales
27,370,17,N,"5. Operaciones Reg. Gral. - IVA deducible - Oper. intragrupo corrientes - Tipo 7,5% - Cuota [748]",,15 enteros 2 decimales
28,387,17,N,5. Operaciones Reg. Gral. - IVA deducible - Oper. intragrupo corrientes - Tipo 10% - Base imponible [607],,15 enteros 2 decimales
29,404,17,N,5. Operaciones Reg. Gral. - IVA deducible - Oper. intragrupo corrientes - Tipo 10% - Cuota [608],,15 enteros 2 decimales
30,421,17,N,5. Operaciones Reg. Gral. - IVA deducible - Oper. intragrupo corrientes - Tipo 21% - Base imponible [609],,15 enteros 2 decimales
31,438,17,N,5. Operaciones Reg. Gral. - IVA deducible - Oper. intragrupo corrientes - Tipo 21% - Cuota [610],,15 enteros 2 decimales
32,455,17,N,5. Operaciones Reg. Gral. - IVA deducible - Total oper. intragrupo corrientes - Base imponible [512],,15 enteros 2 decimales
33,472,17,N,5. Operaciones Reg. Gral. - IVA deducible - Total oper. intragrupo corrientes - Cuota [513],,15 enteros 2 decimales
34,489,17,N,5. Operaciones Reg. Gral. - IVA deducible - Oper. inter. bienes de inversion - Tipo 2% - Base imponible [749],,Nota 2
35,506,17,N,5. Operaciones Reg. Gral. - IVA deducible - Oper. inter. bienes de inversion - Tipo 2% - Cuota [750],,Nota 2
36,523,17,N,5. Operaciones Reg. Gral. - IVA deducible - Oper. inter. bienes de inversion - Tipo 4% - Base imponible [196],,15 enteros 2 decimales
37,540,17,N,5. Operaciones Reg. Gral. - IVA deducible - Oper. inter. bienes de inversion - Tipo 4% - Cuota [197],,15 enteros 2 decimales
38,557,17,N,5. Operaciones Reg. Gral. - IVA deducible - Oper. inter. bienes de inversion - Tipo 5% - Base imponible [728],,Nota 2
39,574,17,N,5. Operaciones Reg. Gral. - IVA deducible - Oper. inter. bienes de inversion - Tipo 5% - Cuota [729],,Nota 2
40,591,17,N,"5. Operaciones Reg. Gral. - IVA deducible - Oper. inter. bienes de inversion - Tipo 7,5% - Base imponible [751]",,Nota 2
41,608,17,N,"5. Operaciones Reg. Gral. - IVA deducible - Oper. inter. bienes de inversion - Tipo 7,5% - Cuota [752]",,Nota 2
42,625,17,N,5. Operaciones Reg. Gral. - IVA deducible - Oper. inter. bienes de inversion - Tipo 10% - Base imponible [611],,15 enteros 2 decimales
43,642,17,N,5. Operaciones Reg. Gral. - IVA deducible - Oper. inter. bienes de inversion - Tipo 10% - Cuota [612],,15 enteros 2 decimales
44,659,17,N,5. Operaciones Reg. Gral. - IVA deducible - Oper. inter. bienes de inversion - Tipo 21% - Base imponible [613],,15 enteros 2 decimales
