,   Agencia Tributaria,,,,,,

Modelo 303,,Diseño de registro.,,,,,
,,Impuesto sobre el Valor Añadido,,,,,
Nº,Posic.,Lon,Tipo,Descripción,Validación,Contenido,
1,1,2,An,Inicio del identificador de modelo y página., Obligatorio ," Constante ""<T""",
2,3,3, Num ,Modelo., Obligatorio ," Constante ""303"" ",
3,6,5, Num ,Página., Obligatorio ," Constante ""01000""",
4,11,1, An ,Fin de identificador de modelo. , Obligatorio ," Constante "">""",
5,12,1,A,Indicador de página complementaria. ,, En blanco,
6,13,1,A,Tipo Declaración, Obligatorio PI, Nota 1,
7,14,9,An,Identificación (1) - NIF, Obligatorio ,,
8,23,80,An,Identificación (1) - Apellidos y nombre o Razón social, Obligatorio ,,
9,103,4,Num,Devengo (2) - Ejercicio, Obligatorio ,,
10,107,2,An,Devengo (2) - Período, Obligatorio ,"""01"",..., ""12"" o ""1T"" … ""4T""",
11,109,1,Num,Identificación (1) - Tributación exclusivamente foral. Sujeto pasivo que tributa exclusivamente a una Administración tributaria Foral con IVA a la importación liquidado por la Aduana pendiente de ingreso,,"""1"" SI,                                                          ""2"" NO.                                                    Nota 5",
12,110,1,Num,Identificación (1) - Sujeto pasivo inscrito en el Registro de devolución mensual (art. 30 RIVA),,"""1"" SI, ""2"" NO. Nota 5",
13,111,1,Num,Identificación (1) - Sujeto pasivo que tributa exclusivamente en régimen simplificado,,"""1"" SI (sólo RS),
 ""2"" NO (RG + RS),
""3"" NO (sólo RG).                                    Nota 5",
14,112,1,Num,Identificación (1) - Autoliquidación conjunta,,"""1"" SI, ""2"" NO. Nota 5",
15,113,1,Num,Identificación (1) - Sujeto pasivo acogido al régimen especial del criterio de Caja (art. 163 undecies LIVA),,"""1"" SI, ""2"" NO. Nota 5",
16,114,1,Num,Identificación (1) - Sujeto pasivo destinatario de operaciones acogidas al régimen especial del criterio de caja,,"""1"" SI, ""2"" NO. Nota 5",
17,115,1,Num,Identificación (1) - Opción por la aplicación de la prorrata especial (art. 103.Dos.1º LIVA),,Nota 6. Nota 5,
18,116,1,Num,Identificación (1) - Revocación de la opción por la aplicación de la prorrata especial,,Nota 6. Nota 5,
19,117,1,Num,Identificación (1) - Sujeto pasivo declarado en concurso de acreedores en el presente período de liquidación,,"""1"" SI, ""2"" NO. Nota 5",
20,118,8,An,Identificación (1) - Fecha en que se dictó el auto de declaración de concurso,,DDMMYYYY,
21,126,1,An,Identificación (1) - Tipo de autoliquidación si se ha dictado auto de declaración de concurso en este período,,"""1"" SI Preconcursal, 
""2"" SI Postconcursal                             blanco NO.                                              Nota 5",
22,127,1,Num,Identificación (1) - Sujeto pasivo acogido voluntariamente al SII,,"""1"" SI,                                                          ""2"" NO.                                                    Nota 5",
23,128,1,Num,"Identificación (1) - Sujeto pasivo exonerado de la Declaración-resumen anual del IVA, modelo 390",,Nota 4. Nota 5,
24,129,1,Num,Identificación (1) - Sujeto pasivo con volumen anual de operaciones distinto de cero (art. 121 LIVA),,Nota 3. Nota 5,
25,130,1,Num,"Identificación (1) - Sujeto pasivo con derecho a deducir pago a cuenta de entregas de gasolinas, gasóleos y biocarburantes posteriores a la ultimación del régimen de depósito distinto del aduanero",,"""1"" SI, ""2"" NO. Nota 8. Nota 9. Nota 5",
26,131,17,Num,Liquidación (3) - Regimen General - IVA Devengado - Régimen general - Base imponible [150],,15 enteros y 2 decimales,
27,148,5,Num,Liquidación (3) - Regimen General - IVA Devengado - Régimen general - Tipo % [151],,"Constante ""00000""",
28,153,17,Num,Liquidación (3) - Regimen General - IVA Devengado - Régimen general - Cuota [152],,15 enteros y 2 decimales,
29,170,17,Num,Liquidación (3) - Regimen General - IVA Devengado - Régimen general - Base imponible [165],,15 enteros y 2 decimales.,
30,187,5,Num,Liquidación (3) - Regimen General - IVA Devengado - Régimen general - Tipo % [166],,"Constante ""00000""",
31,192,17,Num,Liquidación (3) - Regimen General - IVA Devengado - Régimen general - Cuota [167],,15 enteros y 2 decimales.,
32,209,17,Num,Liquidación (3) - Regimen General - IVA Devengado - Régimen general - Base imponible [01],,15 enteros y 2 decimales,
33,226,5,Num,Liquidación (3) - Regimen General - IVA Devengado - Régimen general - Tipo % [02],,"Constante ""00400"". Nota 7",
34,231,17,Num,Liquidación (3) - Regimen General - IVA Devengado - Régimen general - Cuota [03],,15 enteros y 2 decimales,
35,248,17,Num,Liquidación (3) - Regimen General - IVA Devengado - Régimen general - Base imponible [153],,15 enteros y 2 decimales,
36,265,5,Num,Liquidación (3) - Regimen General - IVA Devengado - Régimen general - Tipo % [154],,"Constante ""00000""",
37,270,17,Num,Liquidación (3) - Regimen General - IVA Devengado - Régimen general - Cuota [155],,15 enteros y 2 decimales,
38,287,17,Num,Liquidación (3) - Regimen General - IVA Devengado - Régimen general - Base imponible [04],,15 enteros y 2 decimales,
39,304,5,Num,Liquidación (3) - Regimen General - IVA Devengado - Régimen general - Tipo % [05],,"Constante ""01000"". Nota 7",
40,309,17,Num,Liquidación (3) - Regimen General - IVA Devengado - Régimen general - Cuota [06],,15 enteros y 2 decimales,
41,326,17,Num,Liquidación (3) - Regimen General - IVA Devengado - Régimen general - Base imponible [07],,15 enteros y 2 decimales,
42,343,5,Num,Liquidación (3) - Regimen General - IVA Devengado - Régimen general - Tipo % [08],,"Constante ""02100"". Nota 7",
43,348,17,Num,Liquidación (3) - Regimen General - IVA Devengado - Régimen general - Cuota [09],,15 enteros y 2 decimales,
44,365,17,Num,Liquidación (3) - Regimen General - IVA Devengado - Adquisiciones intracomunitarias de bienes y servicios - Base imponible  [10],,15 enteros y 2 decimales,
45,382,17,Num,Liquidación (3) - Regimen General - IVA Devengado - Adquisiciones intracomunitarias de bienes y servicios - Cuota [11],,15 enteros y 2 decimales,
46,399,17,Num,Liquidación (3) - Regimen General - IVA Devengado - Otras operaciones con inversión del sujeto pasivo (excepto. adq. intracom) - Base imponible  [12],,15 enteros y 2 decimales,
47,416,17,Num,Liquidación (3) - Regimen General - IVA Devengado - Otras operaciones con inversión del sujeto pasivo (excepto. adq. intracom) - Cuota [13],,15 enteros y 2 decimales,
48,433,17,N,Liquidación (3) - Regimen General - IVA Devengado - Modificación bases y cuotas- Base imponible  [14],,15 enteros y 2 decimales,
