,   Agencia Tributaria,,,,,,,,,,,,,,,,,,,,,,,,,,,

Modelo 303,,Diseño de registro.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Impuesto sobre el Valor Añadido,,,,,,,,,,,,,,,,,,,,,,,,,,
Nº,Posic.,Lon,Tipo,Descripción,Validación,Contenido,,,,,,,,,,,,,,,,,,,,,,
1,1,2,An,Inicio del identificador de modelo y página., Obligatorio ," Constante ""<T""",,,,,,,,,,,,,,,,,,,,,,
2,3,3, Num ,Modelo., Obligatorio ," Constante ""303"" ",,,,,,,,,,,,,,,,,,,,,,
3,6,5, Num ,Página., Obligatorio ," Constante ""04000""",,,,,,,,,,,,,,,,,,,,,,
4,11,1, An ,Fin de identificador de modelo. , Obligatorio ," Constante "">""",,,,,,,,,,,,,,,,,,,,,,
5,12,1,A,Indicador de página complementaria.,, En blanco,,,,,,,,,,,,,,,,,,,,,,
6,13,3,An,Exclusivamente a cumplimentar en el último periodo por sujetos pasivos exonerados de la Declaración-resumen anual del IVA: B - Código de actividad - Principal,,,,,,,,,,,,,,,,,,,,,,,,
7,16,4,An,Exclusivamente a cumplimentar en el último periodo por sujetos pasivos exonerados de la Declaración-resumen anual del IVA: C - Epígrafe IAE - Principal,,,,,,,,,,,,,,,,,,,,,,,,
8,20,3,An,Exclusivamente a cumplimentar en el último periodo por sujetos pasivos exonerados de la Declaración-resumen anual del IVA: B - Código de actividad - Otras - 1ª,,,,,,,,,,,,,,,,,,,,,,,,
9,23,4,An,Exclusivamente a cumplimentar en el último periodo por sujetos pasivos exonerados de la Declaración-resumen anual del IVA: C - Epígrafe IAE - Otras - 1ª,,,,,,,,,,,,,,,,,,,,,,,,
10,27,3,An,Exclusivamente a cumplimentar en el último periodo por sujetos pasivos exonerados de la Declaración-resumen anual del IVA: B - Código de actividad - Otras - 2ª,,,,,,,,,,,,,,,,,,,,,,,,
11,30,4,An,Exclusivamente a cumplimentar en el último periodo por sujetos pasivos exonerados de la Declaración-resumen anual del IVA: C - Epígrafe IAE - Otras - 2ª,,,,,,,,,,,,,,,,,,,,,,,,
12,34,3,An,Exclusivamente a cumplimentar en el último periodo por sujetos pasivos exonerados de la Declaración-resumen anual del IVA: B - Código de actividad - Otras - 3ª,,,,,,,,,,,,,,,,,,,,,,,,
13,37,4,An,Exclusivamente a cumplimentar en el último periodo por sujetos pasivos exonerados de la Declaración-resumen anual del IVA: C - Epígrafe IAE - Otras - 3ª,,,,,,,,,,,,,,,,,,,,,,,,
14,41,3,An,Exclusivamente a cumplimentar en el último periodo por sujetos pasivos exonerados de la Declaración-resumen anual del IVA: B - Código de actividad - Otras - 4ª,,,,,,,,,,,,,,,,,,,,,,,,
15,44,4,An,Exclusivamente a cumplimentar en el último periodo por sujetos pasivos exonerados de la Declaración-resumen anual del IVA: C - Epígrafe IAE - Otras - 4ª,,,,,,,,,,,,,,,,,,,,,,,,
16,48,3,An,Exclusivamente a cumplimentar en el último periodo por sujetos pasivos exonerados de la Declaración-resumen anual del IVA: B - Código de actividad - Otras - 5ª,,,,,,,,,,,,,,,,,,,,,,,,
17,51,4,An,Exclusivamente a cumplimentar en el último periodo por sujetos pasivos exonerados de la Declaración-resumen anual del IVA: C - Epígrafe IAE - Otras - 5ª,,,,,,,,,,,,,,,,,,,,,,,,
18,55,1,An,"Exclusivamente a cumplimentar en el último periodo por sujetos pasivos exonerados de la Declaración-resumen anual del IVA: 
D - Marque si ha efectuado operaciones por las que tenga obligación de presentar la declaración anual de operaciones 
con terceras personas.",,X o blanco,,,,,,,,,,,,,,,,,,,,,,
19,56,5,Num,Exclusivamente a cumplimentar en el último periodo por sujetos pasivos exonerados de la Declaración-resumen anual del IVA - Información de la tributación por razón de territorio: Álava [89],,3 enteros y 2 decimales,,,,,,,,,,,,,,,,,,,,,,
20,61,5,Num,Exclusivamente a cumplimentar en el último periodo por sujetos pasivos exonerados de la Declaración-resumen anual del IVA - Información de la tributación por razón de territorio: Guipuzcoa [90],,3 enteros y 2 decimales,,,,,,,,,,,,,,,,,,,,,,
21,66,5,Num,Exclusivamente a cumplimentar en el último periodo por sujetos pasivos exonerados de la Declaración-resumen anual del IVA - Información de la tributación por razón de territorio: Vizcaya [91],,3 enteros y 2 decimales,,,,,,,,,,,,,,,,,,,,,,
22,71,5,Num,Exclusivamente a cumplimentar en el último periodo por sujetos pasivos exonerados de la Declaración-resumen anual del IVA - Información de la tributación por razón de territorio: Navarra [92],,3 enteros y 2 decimales,,,,,,,,,,,,,,,,,,,,,,
23,76,5,Num,Exclusivamente a cumplimentar en el último periodo por sujetos pasivos exonerados de la Declaración-resumen anual del IVA - Información de la tributación por razón de territorio: Territorio común [107],,3 enteros y 2 decimales,,,,,,,,,,,,,,,,,,,,,,
24,81,17,N,Exclusivamente a cumplimentar en el último periodo por sujetos pasivos exonerados de la Declaración-resumen anual del IVA - Operaciones realizadas en el ejercicio - Operaciones en régimen general [80],,15 enteros y 2 decimales,,,,,,,,,,,,,,,,,,,,,,
25,98,17,N,Exclusivamente a cumplimentar en el último periodo por sujetos pasivos exonerados de la Declaración-resumen anual del IVA - Operaciones realizadas en el ejercicio - Operaciones en régimen especial del criterio de caja conforme art. 75 LIVA [81],,15 enteros y 2 decimales,,,,,,,,,,,,,,,,,,,,,,
26,115,17,N,Exclusivamente a cumplimentar en el último periodo por sujetos pasivos exonerados de la Declaración-resumen anual del IVA - Operaciones realizadas en el ejercicio - Entregas intracomunitarias de bienes y servicios [93],,15 enteros y 2 decimales,,,,,,,,,,,,,,,,,,,,,,
27,132,17,N,Exclusivamente a cumplimentar en el último periodo por sujetos pasivos exonerados de la Declaración-resumen anual del IVA - Operaciones realizadas en el ejercicio - Exportaciones y otras operaciones exentas con derecho a deducción [94],,15 enteros y 2 decimales,,,,,,,,,,,,,,,,,,,,,,
28,149,17,N,Exclusivamente a cumplimentar en el último periodo por sujetos pasivos exonerados de la Declaración-resumen anual del IVA - Operaciones realizadas en el ejercicio - Operaciones exentas sin derecho a deducción [83],,15 enteros y 2 decimales,,,,,,,,,,,,,,,,,,,,,,
